locus_tag	ftype	length_bp	gene	EC_number	COG	product
JBCMMFKD_00001	CDS	1233				hypothetical protein
JBCMMFKD_00002	CDS	2028				hypothetical protein
JBCMMFKD_00003	CDS	741	kpsU	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
JBCMMFKD_00004	CDS	1677	kpsD		COG1596	Polysialic acid transport protein KpsD
JBCMMFKD_00005	CDS	1149				hypothetical protein
JBCMMFKD_00006	CDS	984	kpsF	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KpsF
JBCMMFKD_00007	CDS	291				hypothetical protein
JBCMMFKD_00008	CDS	570				hypothetical protein
JBCMMFKD_00009	CDS	198				hypothetical protein
JBCMMFKD_00010	CDS	489				hypothetical protein
JBCMMFKD_00011	CDS	375	cbtA			Cytoskeleton-binding toxin CbtA
JBCMMFKD_00012	CDS	1062				hypothetical protein
JBCMMFKD_00013	CDS	222				hypothetical protein
JBCMMFKD_00014	CDS	477				hypothetical protein
JBCMMFKD_00015	CDS	486	klcA			Antirestriction protein KlcA
JBCMMFKD_00016	CDS	819				hypothetical protein
JBCMMFKD_00017	CDS	234				hypothetical protein
JBCMMFKD_00018	CDS	456				hypothetical protein
JBCMMFKD_00019	CDS	2517				hypothetical protein
JBCMMFKD_00020	CDS	2847	flu		COG3468	Antigen 43
JBCMMFKD_00021	CDS	873	era_1			GTPase Era
JBCMMFKD_00022	CDS	918				hypothetical protein
JBCMMFKD_00023	CDS	885	intS_1		COG0582	Prophage integrase IntS
JBCMMFKD_00024	tRNA	76				tRNA-Phe(gaa)
JBCMMFKD_00025	CDS	708				hypothetical protein
JBCMMFKD_00026	CDS	2136	speC	4.1.1.17	COG1982	Constitutive ornithine decarboxylase
JBCMMFKD_00027	CDS	1257	nupG			Nucleoside permease NupG
JBCMMFKD_00028	CDS	1080	mltC	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase C
JBCMMFKD_00029	CDS	276	yggX		COG2924	putative Fe(2+)-trafficking protein
JBCMMFKD_00030	CDS	1053	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
JBCMMFKD_00031	CDS	720	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
JBCMMFKD_00032	CDS	327			COG3171	putative protein
JBCMMFKD_00033	CDS	720				hypothetical protein
JBCMMFKD_00034	CDS	1047	ansB	3.5.1.1	COG0252	L-asparaginase 2
JBCMMFKD_00035	CDS	1008				hypothetical protein
JBCMMFKD_00036	CDS	1137	hemW		COG0635	Heme chaperone HemW
JBCMMFKD_00037	CDS	594	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
JBCMMFKD_00038	CDS	291				hypothetical protein
JBCMMFKD_00039	CDS	567				hypothetical protein
JBCMMFKD_00040	CDS	705	yggS		COG0325	Pyridoxal phosphate homeostasis protein
JBCMMFKD_00041	CDS	981	yggR		COG2805	putative protein YggR
JBCMMFKD_00042	CDS	417	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
JBCMMFKD_00043	CDS	636				hypothetical protein
JBCMMFKD_00044	CDS	951	gshB	6.3.2.3	COG0189	Glutathione synthetase
JBCMMFKD_00045	CDS	732	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
JBCMMFKD_00046	CDS	708	endA	3.1.21.1	COG2356	Endonuclease-1
JBCMMFKD_00047	CDS	456	sprT			Protein SprT
JBCMMFKD_00048	CDS	1395	galP			Galactose-proton symporter
JBCMMFKD_00049	CDS	1155	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
JBCMMFKD_00050	CDS	252				hypothetical protein
JBCMMFKD_00051	CDS	1977	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
JBCMMFKD_00052	CDS	921	speB	3.5.3.11	COG0010	Agmatinase
JBCMMFKD_00053	CDS	759	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
JBCMMFKD_00054	CDS	1992	tktA	2.2.1.1	COG0021	Transketolase 1
JBCMMFKD_00055	CDS	417	cmtB		COG1762	Mannitol-specific cryptic phosphotransferase enzyme IIA component
JBCMMFKD_00056	CDS	1389	mtlA_1			PTS system mannitol-specific EIICB component
JBCMMFKD_00057	CDS	1278	yggP	1.1.1.17	COG1063	Mannitol-1-phosphate 5-dehydrogenase
JBCMMFKD_00058	CDS	966	yggF	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 2 class 2
JBCMMFKD_00059	CDS	510	fumE	4.2.1.2	COG3722	Fumarase E
JBCMMFKD_00060	CDS	714	coaA_1	2.7.1.33		Pantothenate kinase
JBCMMFKD_00061	CDS	1020	epd	1.2.1.72	COG0057	D-erythrose-4-phosphate dehydrogenase
JBCMMFKD_00062	CDS	1164	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
JBCMMFKD_00063	CDS	1080	fbaA	4.1.2.13	COG0191	Fructose-bisphosphate aldolase class 2
JBCMMFKD_00064	CDS	861	mscS		COG0668	Small-conductance mechanosensitive channel
JBCMMFKD_00065	CDS	636	argO		COG1279	Arginine exporter protein ArgO
JBCMMFKD_00066	CDS	741			COG2968	26 kDa periplasmic immunogenic protein
JBCMMFKD_00067	CDS	897	cynR_1			HTH-type transcriptional regulator CynR
JBCMMFKD_00068	CDS	1479	scpC	2.8.3.-	COG0427	Propionyl-CoA:succinate CoA transferase
JBCMMFKD_00069	CDS	786	scpB	4.1.1.-	COG1024	Methylmalonyl-CoA decarboxylase
JBCMMFKD_00070	CDS	996	argK	3.6.5.-	COG1703	GTPase ArgK
JBCMMFKD_00071	CDS	2145	scpA	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
JBCMMFKD_00072	CDS	894	argP		COG0583	HTH-type transcriptional regulator ArgP
JBCMMFKD_00073	CDS	231				hypothetical protein
JBCMMFKD_00074	CDS	660	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
JBCMMFKD_00075	CDS	1233	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
JBCMMFKD_00076	CDS	603	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
JBCMMFKD_00077	CDS	330	zapA		COG3027	Cell division protein ZapA
JBCMMFKD_00078	CDS	579				hypothetical protein
JBCMMFKD_00079	CDS	1326	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
JBCMMFKD_00080	CDS	1179	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
JBCMMFKD_00081	CDS	1203	ubiI	1.14.13.240	COG0654	2-octaprenylphenol hydroxylase
JBCMMFKD_00082	CDS	1095	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
JBCMMFKD_00083	CDS	390	gcvH		COG0509	Glycine cleavage system H protein
JBCMMFKD_00084	CDS	2874	gcvP	1.4.4.2	COG0403	Glycine dehydrogenase (decarboxylating)
JBCMMFKD_00085	CDS	744	ygfF	1.-.-.-		putative oxidoreductase YgfF
JBCMMFKD_00086	CDS	1434	bglA	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglA
JBCMMFKD_00087	CDS	312				hypothetical protein
JBCMMFKD_00088	CDS	660				hypothetical protein
JBCMMFKD_00089	CDS	981	ygfZ		COG0354	tRNA-modifying protein YgfZ
JBCMMFKD_00090	CDS	267	sdhE		COG2938	FAD assembly factor SdhE
JBCMMFKD_00091	CDS	408	ygfX			Inner membrane protein YgfX
JBCMMFKD_00092	CDS	522	fldB		COG0716	Flavodoxin 2
JBCMMFKD_00093	CDS	897	xerD_1		COG4974	Tyrosine recombinase XerD
JBCMMFKD_00094	CDS	711	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
JBCMMFKD_00095	CDS	1734	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
JBCMMFKD_00096	CDS	882	prfB_1		COG1186	Peptide chain release factor RF2
JBCMMFKD_00097	CDS	1518	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
JBCMMFKD_00098	CDS	549	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
JBCMMFKD_00099	CDS	126	yqfG			putative protein YqfG
JBCMMFKD_00100	CDS	1449	uacT		COG2233	Uric acid transporter UacT
JBCMMFKD_00101	CDS	1920		1.18.1.2		Ferredoxin--NADP reductase
JBCMMFKD_00102	CDS	489	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
JBCMMFKD_00103	CDS	1368	ghxQ		COG2252	Guanine/hypoxanthine permease GhxQ
JBCMMFKD_00104	CDS	1317	guaD	3.5.4.3	COG0402	Guanine deaminase
JBCMMFKD_00105	CDS	1401	xanQ		COG2233	Xanthine permease XanQ
JBCMMFKD_00106	CDS	2871	xdhA_1	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
JBCMMFKD_00107	CDS	780				hypothetical protein
JBCMMFKD_00108	CDS	1329	ssnA	3.-.-.-	COG0402	Putative aminohydrolase SsnA
JBCMMFKD_00109	CDS	3099	ygfK		COG0493	Putative oxidoreductase YgfK
JBCMMFKD_00110	CDS	579	mocA	2.7.7.76	COG2068	Molybdenum cofactor cytidylyltransferase
JBCMMFKD_00111	CDS	771				hypothetical protein
JBCMMFKD_00112	CDS	1626				hypothetical protein
JBCMMFKD_00113	CDS	933	arcC1_1	2.7.2.2		Carbamate kinase 1
JBCMMFKD_00114	CDS	1386	hyuA	3.5.2.-	COG0044	D-phenylhydantoinase
JBCMMFKD_00115	CDS	1212	argE_1	3.5.1.16	COG0624	Acetylornithine deacetylase
JBCMMFKD_00116	CDS	1197	ygeX	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
JBCMMFKD_00117	CDS	1188	ygeW	2.1.3.-	COG0078	Putative carbamoyltransferase YgeW
JBCMMFKD_00118	CDS	1779	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
JBCMMFKD_00119	CDS	480	ndhS	1.17.1.5		Nicotinate dehydrogenase small FeS subunit
JBCMMFKD_00120	CDS	879	ndhF	1.17.1.5		Nicotinate dehydrogenase FAD-subunit
JBCMMFKD_00121	CDS	2298	xdhA_2	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
JBCMMFKD_00122	CDS	756	nlpD_1			Murein hydrolase activator NlpD
JBCMMFKD_00123	tRNA	74				tRNA-Gly(ccc)
JBCMMFKD_00124	CDS	552				hypothetical protein
JBCMMFKD_00125	CDS	477	sthA	1.6.1.1	COG1249	Soluble pyridine nucleotide transhydrogenase
JBCMMFKD_00126	CDS	918	oxyR_1			Hydrogen peroxide-inducible genes activator
JBCMMFKD_00127	CDS	1374	argH	4.3.2.1	COG0165	Argininosuccinate lyase
JBCMMFKD_00128	CDS	777	argB	2.7.2.8	COG0548	Acetylglutamate kinase
JBCMMFKD_00129	CDS	1005	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
JBCMMFKD_00130	CDS	1152	argE_2	3.5.1.16	COG0624	Acetylornithine deacetylase
JBCMMFKD_00131	CDS	2652	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
JBCMMFKD_00132	CDS	1734	eptC	2.7.-.-	COG2194	Phosphoethanolamine transferase EptC
JBCMMFKD_00133	CDS	852	rhaS_1			HTH-type transcriptional activator RhaS
JBCMMFKD_00134	CDS	342	frwD	2.7.1.202	COG1445	PTS system fructose-like EIIB component 3
JBCMMFKD_00135	CDS	879	bssD	1.97.1.-		Benzylsuccinate synthase activating enzyme
JBCMMFKD_00136	CDS	2298	cutC_1	4.3.99.4	COG1882	Choline trimethylamine-lyase
JBCMMFKD_00137	CDS	321	fryB_1	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
JBCMMFKD_00138	CDS	1080	manP_1		COG1299	PTS system mannose-specific EIIBCA component
JBCMMFKD_00139	CDS	2502	fryA_1		COG1080	Multiphosphoryl transfer protein 1
JBCMMFKD_00140	CDS	663	fsaB	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 2
JBCMMFKD_00141	CDS	1104	gldA	1.1.1.6	COG0371	Glycerol dehydrogenase
JBCMMFKD_00142	CDS	618				hypothetical protein
JBCMMFKD_00143	CDS	906	yijE			putative cystine transporter YijE
JBCMMFKD_00144	CDS	2181	katG	1.11.1.21	COG0376	Catalase-peroxidase
JBCMMFKD_00145	CDS	891	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
JBCMMFKD_00146	CDS	2433	metL		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 2
JBCMMFKD_00147	CDS	1161	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
JBCMMFKD_00148	CDS	318	metJ		COG3060	Met repressor
JBCMMFKD_00149	CDS	609				hypothetical protein
JBCMMFKD_00150	CDS	624				hypothetical protein
JBCMMFKD_00151	CDS	213	rpmE		COG0254	50S ribosomal protein L31
JBCMMFKD_00152	CDS	2199	priA	3.6.4.-	COG1198	Primosomal protein N'
JBCMMFKD_00153	CDS	1026	cytR_1		COG1609	HTH-type transcriptional repressor CytR
JBCMMFKD_00154	CDS	855	ftsN		COG3087	Cell division protein FtsN
JBCMMFKD_00155	CDS	531	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
JBCMMFKD_00156	CDS	1332	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
JBCMMFKD_00157	CDS	927	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
JBCMMFKD_00158	CDS	486	rraA		COG0684	Regulator of ribonuclease activity A
JBCMMFKD_00159	CDS	240	zapB		COG3074	Cell division protein ZapB
JBCMMFKD_00160	CDS	846	glpF		COG0580	Glycerol uptake facilitator protein
JBCMMFKD_00161	CDS	1509	glpK	2.7.1.30	COG0554	Glycerol kinase
JBCMMFKD_00162	CDS	1011	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 1 class 2
JBCMMFKD_00163	CDS	747	fpr	1.18.1.2	COG1018	Flavodoxin/ferredoxin--NADP reductase
JBCMMFKD_00164	CDS	429	uspD		COG0589	Universal stress protein D
JBCMMFKD_00165	CDS	300				hypothetical protein
JBCMMFKD_00166	CDS	441				hypothetical protein
