# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
JBCMMFKD_00396	GENE_JBCMMFKD_00396	TRANSCRIPT_JBCMMFKD_00396	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00397	GENE_JBCMMFKD_00397	TRANSCRIPT_JBCMMFKD_00397	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00398	GENE_JBCMMFKD_00398	TRANSCRIPT_JBCMMFKD_00398	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00399	GENE_JBCMMFKD_00399	TRANSCRIPT_JBCMMFKD_00399	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00400	GENE_JBCMMFKD_00400	TRANSCRIPT_JBCMMFKD_00400	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00401	GENE_JBCMMFKD_00401	TRANSCRIPT_JBCMMFKD_00401	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00402	GENE_JBCMMFKD_00402	TRANSCRIPT_JBCMMFKD_00402	protein_coding	0	0	0	6	0	1	0	0	0	0	0	0	0	5
JBCMMFKD_00403	GENE_JBCMMFKD_00403	TRANSCRIPT_JBCMMFKD_00403	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0
JBCMMFKD_00404	GENE_JBCMMFKD_00404	TRANSCRIPT_JBCMMFKD_00404	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	5
JBCMMFKD_00405	GENE_JBCMMFKD_00405	TRANSCRIPT_JBCMMFKD_00405	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	5
JBCMMFKD_00406	GENE_JBCMMFKD_00406	TRANSCRIPT_JBCMMFKD_00406	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0
JBCMMFKD_00407	GENE_JBCMMFKD_00407	TRANSCRIPT_JBCMMFKD_00407	protein_coding	0	1	3	1	0	1	0	3	0	0	0	0	1	0
JBCMMFKD_00408	GENE_JBCMMFKD_00408	TRANSCRIPT_JBCMMFKD_00408	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0
JBCMMFKD_00409	GENE_JBCMMFKD_00409	TRANSCRIPT_JBCMMFKD_00409	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0
JBCMMFKD_00410	GENE_JBCMMFKD_00410	TRANSCRIPT_JBCMMFKD_00410	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0
JBCMMFKD_00411	GENE_JBCMMFKD_00411	TRANSCRIPT_JBCMMFKD_00411	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0
JBCMMFKD_00412	GENE_JBCMMFKD_00412	TRANSCRIPT_JBCMMFKD_00412	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0
JBCMMFKD_00413	GENE_JBCMMFKD_00413	TRANSCRIPT_JBCMMFKD_00413	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0
JBCMMFKD_00457	GENE_JBCMMFKD_00457	TRANSCRIPT_JBCMMFKD_00457	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00458	GENE_JBCMMFKD_00458	TRANSCRIPT_JBCMMFKD_00458	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00459	GENE_JBCMMFKD_00459	TRANSCRIPT_JBCMMFKD_00459	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00460	GENE_JBCMMFKD_00460	TRANSCRIPT_JBCMMFKD_00460	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00461	GENE_JBCMMFKD_00461	TRANSCRIPT_JBCMMFKD_00461	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00462	GENE_JBCMMFKD_00462	TRANSCRIPT_JBCMMFKD_00462	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0
JBCMMFKD_00473	GENE_JBCMMFKD_00473	TRANSCRIPT_JBCMMFKD_00473	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00474	GENE_JBCMMFKD_00474	TRANSCRIPT_JBCMMFKD_00474	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00475	GENE_JBCMMFKD_00475	TRANSCRIPT_JBCMMFKD_00475	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
